0,1,2,3,4,5,6,7,8,9
"(7, 6)","(10, 4)","(9, 5)","(6, 7)","(5, 9)","(11, 4)","(4, 10)","(5, 10)","(9, 4)","(4, 12)"
"(16, 2)","(7, 6)","(10, 4)","(22, 4)","(9, 5)","(23, 4)","(11, 4)","(6, 7)","(5, 9)","(9, 4)"
"(25, 0)","(19, 1)","(17, 1)","(24, 1)","(26, 1)","(18, 3)","(14, 1)","(10, 3)","(18, 0)","(20, 3)"
"(18, 1)","(26, 0)","(24, 0)","(20, 1)","(19, 3)","(13, 3)","(14, 3)","(19, 0)","(17, 3)","(23, 1)"
"(10, 4)","(7, 6)","(2, 17)","(6, 7)","(9, 5)","(8, 6)","(17, 2)","(5, 9)","(4, 12)","(11, 4)"
"(2, 17)","(10, 4)","(4, 10)","(7, 6)","(4, 12)","(6, 7)","(4, 18)","(9, 5)","(6, 8)","(8, 6)"
"(0, 27)","(1, 28)","(1, 21)","(1, 17)","(1, 20)","(1, 13)","(1, 34)","(1, 11)","(1, 33)","(1, 36)"
"(0, 28)","(1, 27)","(1, 18)","(1, 19)","(1, 22)","(1, 35)","(1, 12)","(1, 32)","(3, 28)","(3, 14)"
"(26, 0)","(18, 1)","(20, 1)","(24, 0)","(23, 1)","(25, 1)","(17, 3)","(13, 3)","(19, 3)","(12, 3)"
"(19, 1)","(25, 0)","(18, 3)","(18, 0)","(20, 3)","(20, 0)","(9, 3)","(23, 0)","(10, 3)","(30, 0)"
"(4, 11)","(2, 18)","(6, 9)","(6, 10)","(6, 12)","(4, 13)","(2, 12)","(2, 10)","(2, 19)","(6, 5)"
"(20, 1)","(26, 0)","(24, 0)","(12, 3)","(13, 3)","(17, 3)","(14, 3)","(28, 0)","(29, 0)","(17, 0)"
"(3, 14)","(1, 22)","(4, 12)","(5, 9)","(6, 7)","(5, 10)","(1, 19)","(5, 12)","(5, 15)","(1, 15)"
"(4, 12)","(3, 14)","(6, 7)","(6, 8)","(1, 22)","(2, 21)","(6, 13)","(2, 13)","(6, 11)","(2, 17)"
"(3, 15)","(5, 13)","(5, 14)","(1, 14)","(4, 13)","(5, 7)","(1, 13)","(1, 26)","(1, 20)","(5, 11)"
"(2, 18)","(4, 13)","(4, 11)","(6, 9)","(4, 17)","(2, 19)","(4, 21)","(3, 15)","(6, 12)","(4, 24)"
"(8, 6)","(11, 4)","(10, 4)","(10, 5)","(7, 6)","(5, 10)","(9, 5)","(17, 2)","(11, 5)","(6, 7)"
"(6, 8)","(4, 12)","(4, 10)","(5, 10)","(1, 22)","(10, 4)","(2, 21)","(5, 9)","(9, 5)","(7, 6)"
"(1, 22)","(0, 29)","(3, 14)","(0, 31)","(3, 17)","(0, 26)","(6, 8)","(3, 16)","(1, 23)","(5, 9)"
"(21, 1)","(4, 13)","(2, 18)","(2, 19)","(6, 9)","(20, 3)","(11, 3)","(27, 0)","(20, 0)","(6, 12)"
"(4, 13)","(21, 1)","(2, 18)","(2, 19)","(6, 9)","(6, 12)","(6, 10)","(4, 11)","(2, 12)","(3, 15)"
"(6, 9)","(2, 19)","(9, 6)","(4, 13)","(12, 4)","(4, 14)","(9, 7)","(4, 11)","(4, 7)","(10, 7)"
"(2, 19)","(6, 9)","(4, 13)","(9, 6)","(4, 20)","(12, 4)","(9, 7)","(4, 21)","(4, 17)","(2, 18)"
"(2, 20)","(4, 19)","(2, 21)","(4, 9)","(4, 15)","(4, 18)","(4, 25)","(11, 4)","(2, 17)","(0, 29)"
"(11, 4)","(8, 6)","(7, 6)","(14, 3)","(7, 7)","(14, 2)","(12, 6)","(17, 2)","(12, 2)","(13, 2)"
"(0, 29)","(1, 22)","(3, 14)","(1, 23)","(1, 30)","(1, 25)","(1, 18)","(3, 17)","(0, 31)","(1, 19)"
"(12, 4)","(9, 6)","(6, 9)","(20, 2)","(10, 6)","(11, 6)","(11, 2)","(10, 2)","(4, 13)","(4, 14)"
"(2, 21)","(4, 12)","(2, 20)","(4, 18)","(4, 19)","(6, 8)","(4, 22)","(2, 17)","(6, 7)","(11, 4)"
"(27, 0)","(28, 1)","(21, 1)","(17, 1)","(34, 1)","(12, 1)","(13, 1)","(15, 3)","(19, 1)","(27, 3)"
"(28, 0)","(27, 1)","(14, 3)","(20, 1)","(22, 1)","(18, 1)","(23, 1)","(35, 1)","(11, 1)","(11, 5)"
"(17, 2)","(14, 3)","(10, 4)","(11, 4)","(18, 4)","(20, 4)","(10, 5)","(22, 1)","(7, 7)","(15, 4)"
"(14, 3)","(17, 2)","(22, 1)","(11, 5)","(10, 5)","(9, 5)","(23, 1)","(18, 1)","(11, 4)","(28, 0)"
